序号	英文	释义
1063	discrepancy	不符合， 不一致 (n.)
1064	spectrum	谱， 光谱， 频谱； 范围， 幅度， 系列 (n.)
1065	convince	使确信， 使信服， 说服 (vt.)
1066	prolong	延长， 拉长， 拖延 (vt.)
1067	missionary	传教士 (n.)
1068	terminate	停止， 终止 (v.)
1069	valve	阀， 活门； 瓣膜， 活瓣 (n.)
1070	refund	退款 (n.)
1071	remnant	残留部分 (n.)
1072	internal	内的， 国内的； 内心的 (adj.)
1073	literary	文学的； 文人的， 书卷气的 (adj.)
1074	classical	古典的， 经典的 (adj.)
1075	privilege	特权； 优惠 (n.)
1076	substitute	代替人，代用品 (n.)
1077	mortgage	抵押，抵押借款 (n.)
1078	blaze	熊熊燃烧，着火；发光，放光彩；迸发，爆发 (vi.)
1079	moreover	而且， 再者， 此外 (adv.)
1080	scatter	撒， 散播； 使散开， 驱散 (vt.)
1081	violate	违反， 违背； 亵渎； 侵犯， 妨碍 (vt.)
1082	federal	联邦的， 联盟的 (adj.)
1083	verify	证实， 查证， 证明 (vt.)
1084	excursion	远足， 短途旅行 (n.)
1085	inaugurate	开始， 开展； 为…举行就职典礼； 为…举行开幕式， 为…举行落成仪式 (vt.)
1086	undergo	经历； 经受， 忍受 (vt.)
1087	reward	报答，奖赏；报酬，酬金 (n.)
1088	graze	吃青草 (vi.)
1089	coupon	礼券， 优惠券； 配给券， 票证 (n.)
1090	multitude	大量， 许多； 大众， 民众 (n.)
1091	inhabit	居住于， 栖居于 (vt.)
1092	siege	包围， 围困 (n.)
1093	abstract	抽象的，抽象派的 (adj.)
1094	agenda	议程 (n.)
1095	degenerate	衰退，堕落，蜕化 (vi.)
1096	nurture	养育， 培育， 滋养 (n&vt.)
1097	destructive	破坏的， 毁灭的 (adj.)
1098	appearance	出现， 来到； 外观 (n.)
1099	culture	文化， 文明； 教养； 培养； 培养菌 (n.)
1100	paternity	父权， 父子关系 (n.)
1101	hasty	草率的， 轻率的； 急速的， 匆忙的， 仓促完成的 (adj.)
1102	anonymous	无名的， 不具名的； 匿名的； 无特色的， 无个性特征的 (adj.)
1103	fake	假的，伪造的 (adj.)
1104	span	跨距，一段时间 (n.)
1105	escort	护卫者，护送者 (n.)
1106	bizarre	奇形怪状的， 怪诞的 (adj.)
1107	existence	存在， 实在； 生存 (n.)
1108	ascribe	把…归因于， 把…归属于 (vt.)
1109	threshold	门槛， 门口； 入门， 开端， 起始点 (n.)
1110	float	浮动， 漂浮， 飘动 (v.)
1111	minority	少数； 少数民族 (n.)
1112	axis	轴， 轴线， 中心线； 坐标轴， 基准线 (n.)
1113	pole	杆； 极， 磁极， 电极 (n.)
1114	preferable	更可取的， 更好的， 更合意的 (adj.)
1115	reference	提到， 论及； 参考， 查阅； 引文； 参考书目； 证明书， 推荐信 (n.)
1116	spite	恶意，怨恨；不顾 (n.)
1117	defendant	被告 (n.)
1118	arrange	安排， 准备； 整理 (v.)
1119	olive	橄榄， 橄榄树 (n.)
1120	coarse	粗的， 粗糙的； 粗劣的； 粗俗的 (adj.)
1121	exaggerate	夸大， 夸张 (v.)
1122	streamline	使成流线型； 精简， 使效率更高 (vt.)
1123	imply	暗示， 意指 (vt.)
1124	offset	补偿， 抵消 (vt.)
1125	commitment	承诺， 许诺， 保证； 信奉， 献身； 承担的义务 (n.)
1126	cavity	洞， 穴， 凹处； 龋洞 (n.)
1127	coward	胆小鬼， 懦夫 (n.)
1128	fossil	化石； 食古不化的人， 老顽固 (n.)
1129	poke	伸出，突出 (vi.)
1130	rejection	拒绝 (n.)
1131	fixture	固定装置； 固定在某位置的人 (n.)
1132	manufacture	制造，加工 (vt.)
1133	collision	碰撞； 冲突， 抵触 (n.)
1134	sequence	连续， 接续， 一连串； 次序， 顺序 (n.)
1135	recruit	招募， 吸收 (vt.)
1136	provision	供应； 准备， 预备； 条款， 规定； 给养， 口粮 (n.)
1137	calorie	大卡； 卡 (n.)
1138	slogan	标语， 口号； 广告语 (n.)
1139	invariably	不变地， 始终如一地， 总是 (adv.)
1140	commence	开始 (v.)
1141	tract	传单， 小册子； 大片 (n.)
1142	configuration	配置， 布局， 构造 (n.)
1143	mercury	水银， 汞 (n.)
1144	frequent	时常发生的， 常见的 (adj.)
1145	chunk	厚片， 大块； 相当大的部分 (n.)
1146	interact	相互作用， 相互影响 (vi.)
1147	commonplace	普通的，平庸的 (adj.)
1148	aggregate	总计的， 合计的 (adj.)
1149	seemingly	表面上， 看上去 (adv.)
1150	attendant	伴随的， 随之产生的 (adj.)
1151	array	展示；陈列，一系列；排列，队形；衣服，盛装； (n.)
1152	parameter	界限， 范围； 参数 (n.)
1153	extinct	灭绝的， 绝种的； 不再活跃的， 熄灭了的， 已废弃的 (adj.)
1154	discriminate	区别， 辨别； 有差别地对待， 歧视 (vi.)
1155	degrade	降低…的身份， 有辱…的人格； 使降解， 使退化 (vt.)
1156	opaque	不透明的， 不透光的； 难理解的， 晦涩的 (adj.)
1157	repay	归还； 报答 (vt.)
1158	monetary	钱的， 货币的； 金融的 (adj.)
1159	grave	严重的， 严肃的 (adj.)
1160	advantage	优点， 优势； 好处 (n.)
1161	controversy	争论， 辩论 (n.)
1162	command	命令， 指挥； 控制 (n&vt.)
1163	compulsory	必须做的， 强制性的； 必修的 (adj.)
1164	performance	演出； 履行， 执行， 完成； 工作情况， 表现， 工作性能 (n.)
1165	serial	连续的， 顺序排列的 (adj.)
1166	anticipate	预料， 预期， 期望； 先于…行动， 提前使用 (vt.)
1167	detach	拆卸； 使分开， 使分离 (vt.)
1168	slash	砍；大幅度削减 (vt.)
1169	fabricate	捏造， 伪造， 编造； 建造 (vt.)
1170	comic	喜剧的，滑稽的 (adj.)
1171	perfection	完美， 完善 (n.)
1172	vague	不明确的； 含糊的； 暧昧的 (adj.)
1173	pope	教皇， 罗马主教 (n.)
1174	exception	例外， 除外 (n.)
1175	ego	自我， 自己， 自尊 (n.)
1176	urge	鼓励；推进，催促；竭力主张，强烈要求 (vt.)
1177	spouse	配偶 (n.)
1178	score	得分，比数，成绩；二十 (n.)
1179	isle	小岛， 岛 (n.)
1180	enclosure	四周有篱笆的场地， 围场； 附件 (n.)
1181	graduate	研究生的 (adj.)
1182	famine	饥荒； 严重的缺乏 (n.)
1183	quota	定额， 限额， 配额 (n.)
1184	unanimous	全体一致的， 一致同意的 (adj.)
1185	scorn	轻蔑，鄙视 (n.)
1186	thermal	热的， 由热造成的； 保暖的 (adj.)
1187	sulfur	硫 (n.)
1188	visual	看的， 视觉的 (adj.)
1189	terrain	地形， 地势 (n.)
1190	grief	悲伤， 悲痛； 悲伤的事， 悲痛的缘由 (n.)
1191	rap	说唱 (vi.)
1192	upgrade	提升，使升级 (vt.)
1193	instruct	教， 指示； 通知； 教育 (vt.)
1194	appendix	阑尾； 附录 (n.)
1195	virtually	事实上， 实质上 (adv.)
1196	agreeable	令人愉快的， 惬意的； 同意的， 乐意的 (adj.)
1197	economy	经济； 节约， 节省 (n.)
1198	community	社区， 社会， 公社； 团体， 界； 群落 (n.)
1199	version	译文， 说法， 改写本 (n.)
1200	sprinkle	撒，洒 (v.)
1201	bronze	青铜， 青铜色， 古铜色； 青铜制品， 铜牌 (n.)
1202	conception	思想， 观念， 概念； 构想， 设想； 怀孕 (n.)
1203	municipal	市的， 市政的 (adj.)
1204	detain	拘留， 扣留； 留住， 耽搁 (vt.)
1205	institute	研究所，学院 (n.)
1206	endure	忍受， 容忍； 持久， 持续 (v.)
1207	detail	细节，枝节；零件 (n.)
1208	subculture	亚文化 (n.)
1209	appropriate	适当的，恰当的 (adj.)
1210	criterion	标准， 准则 (n.)
1211	essence	本质， 实质， 要素； 精髓， 精华 (n.)
1212	pore	仔细阅读， 审视 (vi.)
1213	utility	效用， 有用 (n.)
1214	manual	用手的，手工做的 (adj.)
1215	maneuver	设法变动位置； 用策略， 耍花招 (vi.)
1216	symphony	交响乐， 交响曲； 和谐， 协调 (n.)
1217	eloquent	雄辩的， 口才流利的， 有说服力的； 明白显示出的 (adj.)
1218	optimistic	乐观的， 乐观主义的 (adj.)
1219	dual	双的， 两重的 (adj.)
1220	submarine	水底的， 海底的 (adj.)
1221	aspect	方面； 朝向、 方向； 样子， 外表 (n.)
1222	aggressive	侵略的， 好斗的； 敢作敢为的； 有进取心的 (adj.)
1223	stump	脚步沉重地走 (vi.)
1224	behavior	行为， 举止， 表现 (n.)
1225	federation	联合会； 联邦 (n.)
1226	minimize	使减少到最低限度； 极力贬低， 对…作最低估计 (vt.)
1227	descend	下来，下降 (vi.)
1228	signify	有重要性 (vi.)
1229	logical	逻辑的， 合乎常理的 (adj.)
1230	reconciliation	和解， 调和 (n.)
1231	weird	古怪的， 离奇的； 怪诞的， 神秘而可怕的 (adj.)
1232	characterize	成为…的特征， 以…为特征； 描绘的特性， 描述 (vt.)
1233	descent	下降， 下倾； 斜坡， 坡道； 血统， 世系 (n.)
1234	ridiculous	荒谬的， 可笑的 (adj.)
1235	turbulent	动荡的， 混乱的； 汹涌的， 狂暴的 (adj.)
1236	overt	公开的， 不隐蔽的 (adj.)
1237	refute	驳斥， 驳倒 (vt.)
1238	precedent	先例， 范例； 【法】 判例； 惯例 (n.)
1239	severe	严重的； 严厉的， 严格的； 严峻的， 艰难的； 朴素的， 不加装饰的 (adj.)
1240	emerge	出现， 涌现， 冒出 (vi.)
1241	exemplify	是…的典型； 例示， 举例证明 (vt.)
1242	lease	租约，租契 (n.)
1243	exploit	剥削； 利用； 开拓 (vt.)
1244	slap	掴，掌击，拍；啪的一声放 (vt.)
1245	anniversary	周年 (n.)
1246	register	登记， 注册； 指示， 自动记下； 表示， 表达； 注意到， 记住； 把挂号 (v.)
1247	communicate	通讯， 交际， 交流； 连接， 相通； 传达， 传播； 传染 (v.)
1248	evidence	根据， 证据； 证人 (n.)
1249	jerk	猝然一动，猛拉 (v.)
1250	fling	扔，掷；使扑，使投身 (vt.)
1251	stun	使震惊， 使目瞪口呆； 把…打昏， 使昏迷 (vt.)
1252	acid	酸的， 酸性的； 尖刻的， 刻薄的 (adj.)
1253	autonomy	自治， 自治权； 人身自由， 自主权 (n.)
1254	transmission	传播， 发射； 传送， 传递； 传染 (n.)
1255	blush	脸红 (n&vi.)
1256	dubious	怀疑的， 犹豫不决的， 无把握的； 有问题的； 靠不住的 (adj.)
1257	intuition	直觉； 由直觉获知的信息 (n.)
1258	artillery	火炮， 大炮； 炮兵 (n.)
1259	educational	教育的， 教育性的 (adj.)
1260	pose	造成，引起；提出，陈述；摆姿势；假装，冒充，装腔作势 (v.)
1261	finite	有限的， 有限制的； 限定的 (adj.)
1262	amend	修改，修订，改进 (vt.)
1263	erupt	喷发， 喷出； 爆发， 突然发生 (vi.)
1264	exquisite	精美的， 精致的； 敏锐的， 有高度鉴赏力的； 剧烈的， 感觉强烈的 (adj.)
1265	collide	碰撞， 互撞； 冲突， 抵触 (vi.)
1266	remedy	补救办法，纠正办法；药品，治疗法 (n.)
1267	cardinal	最重要的； 基本的 (adj.)
1268	consent	同意， 赞成 (n&vi.)
1269	insist	坚持； 坚持要求； 坚决认为 (v.)
1270	fusion	联合， 合并； 核聚变 (n.)
1271	volume	卷， 册， 书卷； 容积， 体积； 音量， 响度 (n.)
1272	mutual	相互的； 共同的 (adj.)
1273	therefore	因此， 所以 (adv.)
1274	exchange	交换； 交流； 兑换 (n&vt.)
1275	retain	保留， 保持 (vt.)
1276	indignant	愤怒的， 愤慨的， 义愤的 (adj.)
1277	hesitate	犹豫， 踌躇， 含糊； 不情愿 (vi.)
1278	decimal	十进位的 (adj.)
1279	cynical	愤世嫉俗的， 怀疑的 (adj.)
1280	ventilate	使通风； 把…公开， 公开讨论 (vt.)
1281	scoop	舀出； 抢在之前报道新闻 (v.)
1282	companion	同伴， 共事者； 伴侣 (n.)
1283	culminate	告终 (vi.)
1284	breakdown	垮台， 破裂； 衰竭， 衰弱； 损坏， 故障； 明细， 清单 (n.)
1285	directory	人名地址录； 工商行名录； 号码簿 (n.)
1286	behave	表现，举止；运转，做出反应 (vi.)
1287	accomplish	达到， 完成 (vt.)
1288	strand	股，缕；一个组成部分 (n.)
1289	constituent	组成的， 构成的 (adj.)
1290	engine	引擎， 发动机； 机车 (n.)
1291	irritate	使恼怒， 使烦躁； 使不适， 使疼痛 (vt.)
1292	scope	范围； 余地， 机会 (n.)
1293	responsible	需负责任的， 承担责任的； 有责任感的， 负责可靠的； 责任重大的， 重要的 (adj.)
1294	linen	日用织品； 亚麻织品， 亚麻布 (n.)
1295	expectancy	预料； 期待； 盼望 (n.)
1296	illuminate	照明， 照亮； 阐明， 启发 (vt.)
1297	liner	衬里； 大客轮 (n.)
1298	identify	认出， 鉴定； 把…等同于 (vt.)
1299	citizenship	"公民的身份, 公民的职责和权力 (n.)"
1300	label	标签，标记，符号 (n.)
1301	slippery	滑的； 狡猾的 (adj.)
1302	forum	论坛， 讨论会； 专题讨论节目 (n.)
1303	contempt	轻视， 蔑视 (n.)
1304	modify	更改， 修改； 修饰 (vt.)
1305	environment	环境； 外界； 围绕 (n.)
1306	clone	无性繁殖， 克隆 (v.)
1307	betray	背叛， 出卖； 失信于， 辜负； 泄露； 暴露， 显露 (vt.)
1308	progressive	前进的； 渐进的； 进行式的 (adj.)
1309	pledge	保证，誓言 (n.)
1310	exempt	被免除的， 被豁免的 (adj.)
1311	deliberate	故意的， 蓄意的； 慎重的， 深思熟虑的 (adj.)
1312	physiological	生理的， 生理学的 (adj.)
1313	shaft	柄， 杆； 束， 光线； 轴； 竖井， 升降井 (n.)
1314	aesthetic	美学的， 审美的； 悦目的， 雅致的 (adj.)
1315	atmosphere	大气， 空气； 气氛， 环境 (n.)
1316	decorate	装饰， 装潢， 修饰 (vt.)
1317	electrician	电工， 电气技师 (n.)
1318	occupation	占领， 占据； 职业； 从事的活动， 消遣 (n.)
1319	tendency	趋向， 趋势， 倾向 (n.)
1320	release	释放， 排放； 解除， 解脱； 放开， 松开； 发布； 发行 (n&vt.)
1321	caption	说明文字， 字幕 (n.)
1322	hardy	能吃苦耐劳的， 坚强的； 耐寒的 (adj.)
1323	purify	使纯净， 提纯； 使纯洁 (vt.)
1324	toll	敲 (v.)
1325	variation	变化， 变动， 变异； 变奏 (n.)
1326	moral	道德的，有道德的 (adj.)
1327	rig	操纵，垄断；给装配帆及索具；用临时替代材料迅速搭起 (vt.)
1328	eject	驱逐， 逐出； 喷射， 排出； 弹出 (vt.)
1329	defect	变节， 叛变 (vi.)
1330	reinforce	增强， 加强， 增援 (vt.)
1331	casual	偶然的； 非正式的； 临时的， 不定期的； 漠不关心的， 冷淡的 (adj.)
1332	slack	懈怠， 懒散 (vi.)
1333	rim	边，缘 (n.)
1334	property	财产， 所有物； 房产； 物业； 性质， 性能 (n.)
1335	rip	扯破，撕坏 (v.)
1336	outbreak	爆发， 突然发生 (n.)
1337	manipulate	操纵， 控制； 影响； 操作， 使用 (vt.)
1338	similar	相似的， 类似的 (adj.)
1339	contradict	反驳， 否认…的真实性； 与…发生矛盾， 与…抵触 (vt.)
1340	melody	旋律， 曲调； 悦耳的音乐 (n.)
1341	likelihood	可能， 可能性 (n.)
1342	converge	会合， 互相靠拢； 聚集， 集中； 趋近 (vi.)
1343	compose	组成， 构成； 创作， 为…谱曲； 使平静， 使镇静 (vt.)
1344	catholic	[C-]天主教的；普遍的，广泛的 (adj.)
1345	partial	部分的； 不公平的； 偏爱的， 偏袒的 (adj.)
1346	aid	帮助，救护；助手，辅助手段 (n.)
1347	supersonic	超声的， 超音速的 (adj.)
1348	optimism	乐观， 乐观主义 (n.)
1349	confident	确信的， 肯定的； 自信的 (adj.)
1350	drastic	严厉的， 极端的； 激烈的， 迅猛的 (adj.)
1351	epoch	时期， 时代 (n.)
1352	saleable	适合销售的 (adj.)
1353	crew	全体船员； 一队工作人员 (n.)
1354	manufacturer	制造商， 制造厂 (n.)
1355	defeat	战胜， 挫败 (n&vt.)
1356	valid	有效的， 正当的； 有根据的， 有理的 (adj.)
1357	inertia	不活动， 惰性； 惯性 (n.)
1358	encourage	鼓励， 怂恿； 促进， 助长， 激发 (vt.)
1359	vacuum	收集； 用真空吸尘器打扫 (v.)
1360	extravagant	奢侈的； 过度的， 过分的， 放肆的 (adj.)
1361	accommodate	容纳； 向…提供住处； 使适应， 顺应 (vt.)
1362	bubble	冒泡， 起泡， 沸腾 (vi.)
1363	morality	道德， 道德性； 德行， 品行； 道德观， 道德规则 (n.)
1364	yield	出产；让出，放弃；屈服，顺从；倒塌，垮掉 (v.)
1365	electronic	电子的 (adj.)
1366	transplant	移栽，移种；移植；使迁移，使移居 (vt.)
1367	terrace	排屋；地坪，草坪； (n.)
1368	deficit	赤字， 亏空， 亏损 (n.)
1369	sacred	神圣的； 宗教的； 神圣不可侵犯的 (adj.)
1370	cathedral	大教堂 (n.)
1371	elegant	优美的， 文雅的， 讲究的； 简练的， 简洁的 (adj.)
1372	synthesis	综合； 合成 (n.)
1373	incidentally	顺便提及地， 顺便提一句 (adv.)
1374	polar	地极的， 近地极的； 磁极的； 正好相反的， 截然对立的 (adj.)
1375	shark	鲨鱼； 勒索者， 诈骗者， 放高利贷的人 (n.)
1376	linger	继续逗留， 留恋徘徊， 继续存留； 缓慢消失 (vi.)
1377	historian	历史学家， 史学工作者 (n.)
1378	cumulative	积累的， 渐增的 (adj.)
1379	prototype	原型 (n.)
1380	overpass	天桥， 立交桥 (n.)
1381	species	种， 类 (n.)
1382	slip	滑跤，滑落，溜；下降，跌落；悄悄放进 (v.)
1383	temperament	气质， 性格 (n.)
1384	cite	引用， 引证； 传唤， 传讯； 表彰， 嘉奖 (vt.)
1385	acquaintance	认识， 了解； 熟人 (n.)
1386	moan	呻吟，呜咽；抱怨，发牢骚 (vi.)
1387	quench	止； 扑灭 (vt.)
1388	shed	脱落，脱去；流出，流下；发出，散发 (vt.)
1389	spice	香料，调味品；趣味，情趣，风味 (n.)
1390	rating	等级， 品级， 评定结果； 收视率， 收听率 (n.)
1391	assertive	断定的； 过分自信的 (adj.)
1392	autonomous	自治的； 独立自主的 (adj.)
1393	referee	当裁判 (vi.)
1394	aerial	飞机的，航空的；空中的，架空的 (adj.)
1395	trial	试， 试验； 审判； 讨厌的人 (n.)
1396	perception	感知， 觉察； 认识， 观念， 看法 (n.)
1397	elapse	消逝， 过去 (vi.)
1398	symmetry	对称； 匀称， 整齐 (n.)
1399	visualize	想象； 设想 (vt.)
1400	reap	收割， 收获； 获得， 得到 (vt.)
1401	insect	昆虫， 虫 (n.)
1402	presume	擅自行事 (vi.)
1403	complement	补充，互为补充的东西；编制名额；装备定额；补语['k?mpl?m3nt] (n.)
1404	cable	缆，索，电缆，电报 (n.)
1405	nasty	令人讨厌的， 令人厌恶的； 难弄的， 困难的； 严重的， 恶劣的， 险恶的； 下流的， 道德败坏的 (adj.)
1406	intense	强烈的； 紧张的； 认真的； 热情的 (adj.)
1407	border	近似， 与…接壤 (vi.)
1408	estate	地产， 房地产 (n.)
1409	articulate	善于表达的， 发音清晰的； 表达得清楚有力的 (adj.)
1410	adhere	黏附， 附着； 遵守； 坚持； 追随， 支持 (vi.)
1411	expense	花费， 消费， 费用； 开支， 业务费用 (n.)
1412	traverse	横渡， 横越 (vt.)
1413	rigorous	严密的， 缜密的； 严格的， 严厉的 (adj.)
1414	yell	号叫， 叫喊 (n&vi.)
1415	contemporary	现代的， 当代的； 同时代的 (adj.)
1416	tribe	部落； 族 (n.)
1417	activate	使活动起来； 使开始作用 (vt.)
1418	mobilize	动员起来 (vi.)
1419	mock	嘲笑，嘲弄 (vi.)
1420	minibus	小型公共汽车 (n.)
1421	repetitive	重复的， 反复性的 (adj.)
1422	gear	齿轮，传动装置，挡；用具，设备，衣服 (n.)
1423	facilitate	使…变得容易， 使便利 (vt.)
1424	attract	吸引， 引起…注意 (vt.)
1425	precipitate	使突然发生； 猛然抛下； 使沉淀 (v.)
1426	endow	资助， 捐赠； 给予， 赋予， 认为…具有某种特质 (vt.)
1427	financial	财政的， 金融的 (adj.)
1428	respective	各自的， 各个的， 分别的 (adj.)
1429	quiver	颤抖，发抖，抖动 (vi.)
1430	slot	狭缝，狭槽；位置，空位 (n.)
1431	harden	变硬 (v.)
1432	rot	腐烂，腐朽 (v.)
1433	define	给…下定义， 限定 (vt.)
1434	predict	预言， 预告， 预测 (vt.)
1435	dictate	['dIkteIt] (v.)
1436	memorize	记住， 熟记 (vt.)
1437	render	使得， 致使； 给予， 提供； 翻译 (vt.)
1438	undermine	暗中破坏， 逐渐削弱； 侵蚀…的基础 (vt.)
1439	subjective	主观的， 个人的 (adj.)
1440	blossom	开花； 发展， 长成 (vi.)
1441	radical	根本的，基本的；激进的，激进派的 (adj.)
1442	manifest	明显的，显然的，明了的 (adj.)
1443	blunt	钝的；率直的，直言不讳的 (adj.)
1444	endeavor	努力， 尽力， 尝试 (n&v.)
1445	relieve	使轻松， 使宽慰； 缓解， 减轻， 解除； 使得到调剂； 接替， 替下 (vt.)
1446	quartz	石英 (n.)
1447	air-conditioning	空调设备， 空调系统 (n.)
1448	adjacent	邻近的， 毗连的 (adj.)
1449	employment	工作； 雇用； 使用 (n.)
1450	transport	运输 (vt.)
1451	specific	特有的；明确的；具体的 (adj.)
1452	analogy	比拟； 类比， 类推 (n.)
1453	application	申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性 (n.)
1454	productive	多产的， 富饶的； 富有成效的 (adj.)
1455	prune	修剪， 修整； 删除， 削减 (vt.)
1456	engage	使从事于， 聘用； 吸引， 占用； 使订婚 (vt.)
1457	chord	和弦， 和音； 弦， 心弦 (n.)
1458	semester	学期 (n.)
1459	strategy	战略， 策略 (n.)
1460	remainder	余下的部分， 剩下的人数 (n.)
1461	hypothesis	假设， 假说， 前提 (n.)
1462	revolve	旋转 (vi.)
1463	collapse	倒坍， 瓦解； 崩溃， 突然失败 (n&vi.)
1464	territory	领土， 版图； 领域 (n.)
1465	summon	召唤， 传唤； 鼓起， 振作； 召集， 召开 (vt.)
1466	flare	闪耀，烧旺；突发，突然发怒 (vi.)
1467	accurate	准确的， 正确无误的 (adj.)
1468	legend	传说， 传奇故事； 传奇人物 (n.)
1469	maintain	维持； 维修， 保养； 主张； 赡养 (vt.)
1470	expertise	专门知识， 专长 (n.)
1471	bargain	讨价还价 (vi.)
1472	erect	竖直的， 挺直的 (adj.)
1473	professional	职业的，专业的，专门的 (adj.)
1474	nil	无， 零 (n.)
1475	identification	身份证明； 鉴定， 验明， 认出； 认同 (n.)
1476	migrant	移居者， 移民； 候鸟， 迁移动物 (n.)
1477	protein	蛋白质 (n.)
1478	annual	每年的，一年一次的 (adj.)
1479	exclusive	奢华的，高级的；独有的；排斥的；不包括…的 (adj.)
1480	repertoire	全部节目 (n.)
1481	poverty	贫穷， 贫困 (n.)
1482	resort	求助，凭借，诉诸 (vi.)
1483	testify	作证，证明；表明，说明 (vi.)
1484	pearl	珍珠； 珠状物； 珍品 (n.)
1485	conclusive	确实的； 最后的； 决定性的 (adj.)
1486	margin	页边空白； 差数， 差额； 余地； 边缘 (n.)
1487	apt	易于…的， 有…倾向的； 恰当的， 适宜的； 聪明的， 反应敏捷的 (adj.)
1488	remain	剩下，余留，保持；仍然是 (vi.)
1489	pregnancy	怀孕 (n.)
1490	shabby	破旧的， 衣衫褴褛的； 卑鄙的； 不公正的 (adj.)
1491	toss	掷钱币来决定；翻来覆去 (vi.)
1492	demand	要求，需要；询问 (vt.)
1493	reel	摇摇晃晃地移动，蹒跚；眩晕，发昏 (vi.)
1494	pathetic	差劲的， 令人生厌的； 引起怜悯的， 可怜的， 可悲的 (adj.)
1495	dissipate	消散，消失 (vi.)
1496	flask	长颈瓶， 酒瓶， 烧瓶 (n.)
1497	accuse	指责， 归咎于 (vt.)
1498	disturbance	扰乱， 打扰； 骚乱， 混乱； 心神不安， 烦恼 (n.)
1499	visceral	内脏的， 腑脏的； 出自内心的， 发自肺腑的 (adj.)
1500	gamble	赌博，打赌；投机，冒险 (vi.)
1501	simultaneous	同时发生的， 同时存在的； 同步的， 一齐的 (adj.)
1502	instructional	指导的， 教育的 (adj.)
1503	guarantee	保证，担保物 (n.)
1504	odor	气味 (n.)
1505	predecessor	前任， 前辈； 原有事物， 前身 (n.)
1506	acquire	取得， 获得； 学到 (vt.)
1507	literal	照字面的， 原义的； 逐字的 (adj.)
1508	notion	概念， 观念； 意图， 想法， 念头 (n.)
1509	default	不履行义务， 拖欠 (v.)
1510	arc	弧形； 弧； 电弧， 弧光 (n.)
1511	beverage	饮料 (n.)
1512	captive	被俘虏的，被捕获的 (adj.)
1513	insane	极蠢的， 荒唐的； 精神病的， 精神失常的， 疯狂的 (adj.)
1514	attribute	把…归因于 (vt.)
1515	cemetery	墓地， 公墓 (n.)
1516	genetic	遗传的 (adj.)
1517	stitch	缝， 绣 (v.)
1518	triumph	成功 (vi.)
1519	vice	罪恶， 恶习， 缺点； 虎钳 (n.)
1520	detection	察觉， 发觉； 侦查， 探测 (n.)
1521	bowel	肠； 内部， 深处 (n.)
1522	arouse	引起； 唤起， 唤醒 (vt.)
1523	optimum	最合适的， 最优的， 最佳的 (adj.)
1524	suppress	压制， 镇压； 禁止发表， 查禁； 抑制， 忍住； 阻止…的生长 (vt.)
1525	pudding	布丁 (n.)
1526	wrinkle	起皱纹 (v.)
1527	consensus	一致， 一致同意 (n.)
1528	boring	令人厌烦的， 乏味的， 无聊的 (adj.)
1529	classic	最优秀的，典型的，标准的；传统式样的，典雅的 (adj.)
1530	supervise	监督， 管理， 指导 (v.)
1531	gossip	传播流言蜚语 (vi.)
1532	describe	形容， 描写； 画出 (vt.)
1533	dilemma	窘境， 困境 (n.)
1534	engagement	订婚， 婚约； 约会 (n.)
1535	wealthy	富的， 富裕的 (adj.)
1536	slum	贫民窟 (n.)
1537	foam	起泡沫， 吐白沫 (vi.)
1538	disregard	不理会，漠视 (vt.)
1539	administration	管理； 管理部门， 行政机关； 实行， 执行 (n.)
1540	occasional	偶尔的， 间或发生的 (adj.)
1541	dwell	居住 (vi.)
1542	incorporate	包含； 加上， 吸收； 把…合并， 使并入 (vt.)
1543	debate	争论， 辩论 (n&v.)
1544	extinguish	熄灭， 扑灭； 使消亡， 使破灭 (vt.)
1545	vulnerable	易受伤的， 脆弱的； 易受攻击的， 难防御的 (adj.)
1546	furniture	家具 (n.)
1547	segment	部分， 片段； 瓣 (n.)
1548	counterpart	与对方地位相当的人， 与另一方作用相当的物 (n.)
1549	preach	布道， 说教 (vi.)
1550	flank	肋，肋腹，侧边；侧翼 (n.)
1551	donate	捐赠， 赠送 (vt.)
1552	pendulum	摆， 钟摆； 摇摆不定的事态 (n.)
1553	defiance	违抗； 藐视 (n.)
1554	sovereign	拥有最高统治权的， 至高无上的； 具有独立主权的 (adj.)
1555	cater	满足需要， 迎合； 提供饮食及服务， 承办酒席 (vi.)
1556	attractive	有吸引力的， 引起注意的 (adj.)
1557	significant	相当数量的； 重要的， 意义重大的， 意味深长的 (adj.)
1558	duplicate	完全一样的， 复制的 (adj.)
1559	bleed	出血，流血；泌脂 (vi.)
1560	rein	缰绳 (n.)
1561	decrease	减少 (v.)
1562	flutter	振翼，拍翅而飞；飘动，飘扬；快速跳动 (vi.)
1563	volunteer	自愿； 自愿提供； 志愿 (v.)
1564	overlap	部分重叠； 部分相同 (v.)
1565	materialism	唯物主义 (n.)
1566	installment	分期付款， 分期交付； 部分 (n.)
1567	mourn	哀悼； 感到痛心 (v.)
1568	cane	手杖； 茎 (n.)
1569	trifle	嘲笑； 轻视 (vi.)
1570	migrate	迁徙， 移栖； 移居， 迁移 (vi.)
1571	Easter	复活节 (n.)
1572	submit	屈从， 听从； 忍受； 甘心 (vi.)
